customer_id,first_name,last_name,gender,date_of_birth,national_id,email,phone,address,city,country,occupation,annual_income,credit_score,customer_since
1,Cynthia,Martinez,Male,2005-03-13,87840608417590,michaelbutler@example.org,(383)749-9738x7800,22651 Ramirez Shoal Apt. 813,Bensonfurt,Egypt,"Engineer, mining",122710,638,2017-08-24
2,Allison,Robinson,Female,1967-11-08,96076705646388,travisramirez@example.net,001-203-217-0511,4151 Joan Spur Suite 216,Valeriemouth,Egypt,"Engineer, maintenance",143589,606,2015-04-12
3,Daniel,George,Male,1989-01-10,79769515091519,nsmith@example.org,+1-926-484-9115x41605,565 Jason Meadows,Port Kevin,Egypt,Therapeutic radiographer,44896,341,2015-06-13
4,Alicia,Hunter,Male,2006-10-02,24266429721839,ccook@example.net,708-390-1229,349 Benjamin Mall,East Jennifer,Egypt,Air cabin crew,64227,787,2012-11-09
5,Megan,Wallace,Male,2002-03-16,43686650684556,morrisdaniel@example.org,970-920-1964x64803,9594 Schmidt Crescent,North Katrina,Egypt,Holiday representative,491824,408,2022-07-28
6,David,Alvarado,Female,1983-04-17,47542328492798,corey12@example.net,672.799.8477x73295,779 Mcmahon Corners Suite 533,West Lisaberg,Egypt,Systems analyst,276064,688,2015-11-17
7,Jennifer,Murphy,Female,1983-02-06,95663581740838,wongpatricia@example.org,+1-400-518-2430,19358 Johnny Fort Suite 038,Barretthaven,Egypt,Product designer,317916,619,2019-02-03
8,Nicholas,Davis,Male,1988-02-27,35444732401423,martinezwilliam@example.com,759.826.0208,83299 Samantha Harbors,Johnsonburgh,Egypt,Bookseller,239414,651,2022-03-04
9,Pamela,Mcdonald,Female,1993-09-19,15645071470980,joshua17@example.org,925-839-9013x205,86183 Patrick Orchard Suite 440,Dukeview,Egypt,"Nurse, learning disability",251908,711,2019-03-16
10,Christopher,Moreno,Female,1984-06-21,46352542161648,bkaiser@example.net,(390)484-2198,9921 Christopher Alley Apt. 484,Moodyburgh,Egypt,Fitness centre manager,381851,524,2026-05-14
11,Samuel,Franklin,Male,1976-05-20,73942708302023,juliawoodard@example.com,001-987-791-4582,908 Timothy Village,South Kimhaven,Egypt,"Programmer, applications",144127,416,2020-07-07
12,Michelle,Stone,Male,1969-08-07,62563565435307,wellsjennifer@example.org,(472)661-7996,22955 Tina Pass Suite 078,Johnsontown,Egypt,Financial trader,250363,485,2022-01-14
13,Allen,Padilla,Female,1989-12-20,58721549032165,wcolon@example.org,356-480-3887x225,6483 Deleon Path,North Ashley,Egypt,Chief Executive Officer,62012,611,2024-03-18
14,Jesus,Brown,Female,2000-04-29,45521858038852,landrynicole@example.org,695-919-5533,769 Martin Light,Sheilafurt,Egypt,Medical laboratory scientific officer,356491,331,2021-07-23
15,Melissa,Nguyen,Male,1976-07-03,98926348657156,mlewis@example.com,001-812-625-8788x70140,78392 William Key Suite 528,Schmidtfort,Egypt,Archivist,358543,302,2016-10-19
16,Mark,Lopez,Male,1955-08-23,30791458404070,cjones@example.net,237.907.1900x9291,55542 Jodi Green,East Lisabury,Egypt,Dramatherapist,370790,736,2014-04-23
17,Jennifer,Scott,Male,1962-10-08,11007912683428,garcialaurie@example.net,(403)571-4400x038,034 Weaver Loaf Suite 019,East Seanchester,Egypt,Quality manager,39353,453,2016-06-16
18,Wendy,Jensen,Male,1980-08-28,10760213976299,kimberly40@example.com,+1-358-563-8407x216,679 Keith Plaza,Katherinebury,Egypt,Chartered loss adjuster,81745,316,2018-03-19
19,Michael,Wade,Female,1972-03-05,20309184733623,yellis@example.org,620-315-1185x67317,414 Stephen Wells Suite 632,Justinfurt,Egypt,Industrial/product designer,233901,815,2013-05-10
20,Joseph,Fisher,Female,1974-03-24,39190039226015,katherine44@example.org,776-407-3833x4743,493 Ashley Summit Apt. 538,Port Brianside,Egypt,Control and instrumentation engineer,496387,505,2016-03-30
21,Tammy,Foley,Male,1998-06-11,83556131949085,bobbysanders@example.net,+1-953-655-8974x6569,85229 Edward Drives,New Amanda,Egypt,Social worker,315895,746,2012-01-19
22,Erica,Underwood,Female,1993-02-19,11763752275536,dicksonamanda@example.net,(376)227-3076,606 Heather Lock Apt. 627,New Kevinland,Egypt,Civil Service fast streamer,172719,380,2015-10-20
23,Brenda,Buchanan,Male,1975-11-18,61831268391765,qmartinez@example.net,(356)672-0677,9375 Herrera Heights Apt. 452,Port Larryhaven,Egypt,"Producer, television/film/video",425167,506,2024-03-14
24,Nicole,Walton,Female,1960-10-20,82273119810614,priscilla51@example.com,+1-957-557-8056x2144,36076 Davis Island,Timothyfort,Egypt,Operations geologist,429535,699,2025-08-06
25,James,Parker,Female,2005-10-22,13110734081268,sthompson@example.org,001-393-856-1142x713,7794 Stephanie Skyway Suite 772,Lewismouth,Egypt,"Engineer, biomedical",463344,662,2024-10-26
26,Rhonda,Hawkins,Female,1962-02-19,41418545232364,mathewjohnson@example.net,001-698-223-2001x7979,60680 Katherine Dam,Millerside,Egypt,Event organiser,89807,322,2012-09-05
27,Kristen,Tanner,Male,1953-07-25,64977995430276,gspence@example.org,(458)463-9871,88284 Johnny Knoll Suite 303,North Megan,Egypt,"Therapist, drama",94892,829,2024-12-03
28,Diana,Delgado,Male,1951-02-24,21037121245189,smithsarah@example.net,297-765-3687x01371,49749 Yvette Estates,Elizabethland,Egypt,Probation officer,374464,316,2017-01-28
29,Debra,Carr,Male,1986-05-07,60226865264834,ztaylor@example.org,+1-592-535-8339x3672,55402 Padilla Prairie,South Shari,Egypt,Information officer,181417,428,2020-03-23
30,Joseph,Mora,Male,1978-07-26,75016687329058,valerie75@example.net,(898)301-0270x984,78489 Bird Branch Suite 779,Davidfort,Egypt,Acupuncturist,142349,605,2012-08-12
31,Elizabeth,Garcia,Male,2008-04-26,45418158572200,ryanpowell@example.org,(756)202-0933,77386 Allison Fords Suite 047,Branchstad,Egypt,Quantity surveyor,55784,549,2018-08-08
32,Nancy,Gibbs,Male,1999-05-31,54603285098787,michaelmartinez@example.net,922.342.2363x68105,061 Nicholas Isle,Torresland,Egypt,Clinical biochemist,31114,513,2020-01-19
33,Stephen,Morton,Female,1973-02-24,36545440573365,ann96@example.net,269.478.7949,375 Turner Corners,Sanchezshire,Egypt,Clinical embryologist,74568,696,2020-01-05
34,Willie,Conley,Male,1984-12-29,23524062992111,paul39@example.org,+1-396-270-7546x0671,5326 Stephanie Brook,Millsberg,Egypt,Physiological scientist,114283,609,2022-08-08
35,Kent,Haley,Male,1981-05-24,94618807303872,elizabethrussell@example.com,+1-747-909-2320x98211,32020 Newman Knoll,North Cynthiaberg,Egypt,Bookseller,351857,518,2016-06-18
36,Heather,Reynolds,Female,1989-05-08,99441626524345,brentmorales@example.org,(298)560-8891,397 Nicholas Overpass,East Robertmouth,Egypt,Newspaper journalist,285084,611,2016-07-09
